source_href,name_hotel,region,description,price_label,rating,rating_type,review_count,location,formatted_address,formatted_region
https://www.booking.com/hotel/id/the-sender-pool-suite.html?sid=b9709cd8ce176378f5bf317f22dd8ee4&aid=2230186&ucfs=1&arphpl=1&dest_id=835&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=768&sr_order=popularity&srpvid=f0c23a7c639c0165&srepoch=1685175669&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl,The Sender Pool Suites,"Downtown Ubud, Ubud","Located in center of Ubud, The Sender Pool Suites has accommodations with an outdoor swimming pool, pool views, as well as a garden and a terrace. This villa has a 24-hour front desk and free WiFi.",Expensive,8.5,Good,131,"{'lat': -8.5099276, 'lng': 115.2584608}","F7R5+29G, Jl. Bisma, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Ubud, Gianyar"
https://www.booking.com/hotel/id/royal-samaja-villas.html?sid=b9709cd8ce176378f5bf317f22dd8ee4&aid=2230186&ucfs=1&arphpl=1&dest_id=835&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=769&sr_order=popularity&srpvid=f0c23a7c639c0165&srepoch=1685175669&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl,Royal Samaja Villas - CHSE Certified,"Petitenget, Seminyak","Located in Seminyak, Royal Samaja Villas - CHSE Certified is 1640 feet from The Seminyak Square Shopping Mall. Ku De Ta is 2625 feet from the property. Free private parking is available on site.",Moderate,8.9,Exceptional,116,"{'lat': -8.6819578, 'lng': 115.1581354}","Jalan Kayu Cendana No.7A Seminyak Kuta, Kerobokan Kelod, Kuta Utara, Badung Regency, Bali 80361, Indonesia","Kuta Utara, Badung"
https://www.booking.com/hotel/id/lovina-life.html?sid=b9709cd8ce176378f5bf317f22dd8ee4&aid=2230186&ucfs=1&arphpl=1&dest_id=835&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=770&sr_order=popularity&srpvid=f0c23a7c639c0165&srepoch=1685175669&map_fdco=1&from=searchresults#hotelTmpl,Lovinalife Room & Cafe,"Lovina Beach, Lovina","Located in Lovina, within a 6-minute walk of Lovina Beach and 0.6 miles of Ganesha Beach, Lovinalife Room & Cafe provides accommodations with a garden and a restaurant, and free WiFi throughout the...",Expensive,8.9,Exceptional,122,"{'lat': -8.1630715, 'lng': 115.0243294}","Jl. Seririt- Singaraja, Kaliasem, Lovina, Kab.Buleleng, Bali 81152, Indonesia","Banjar, Buleleng"
https://www.booking.com/hotel/id/pondok-jenggala.html?sid=b9709cd8ce176378f5bf317f22dd8ee4&aid=2230186&ucfs=1&arphpl=1&dest_id=835&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=771&sr_order=popularity&srpvid=f0c23a7c639c0165&srepoch=1685175669&map_fdco=1&from=searchresults#hotelTmpl,Pondok Jenggala,"Jungut Batu, Nusa Lembongan","Pondok Jenggala is located in Klungkung, just 328 feet from Nusa Lembongan Beach. It features an outdoor swimming pool, restaurant and rooms with a private terrace. Free parking is provided.",Moderate,8,Good,132,"{'lat': -8.6726976, 'lng': 115.449081}","Jl. Raya Jungutbatu Village, Lembongan, Kec. Nusa Penida, Jungutbatu, Kec. Klungkung, Kabupaten Klungkung, Bali 80771, Indonesia","Nusa Penida, Klungkung"
https://www.booking.com/hotel/id/dara-ayu-villas-spa.html?sid=b9709cd8ce176378f5bf317f22dd8ee4&aid=2230186&ucfs=1&arphpl=1&dest_id=835&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=772&sr_order=popularity&srpvid=f0c23a7c639c0165&srepoch=1685175669&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl,Adiwana Dara Ayu Villas,Payangan,"Located in Majangan, Buahan Village of Payangan Gianyar, Adiwana Dara Ayu Villas is a 45-minute drive from the center of Ubud. The villa offers complimentary WiFi.",Moderate,7.9,Good,153,"{'lat': -8.361470599999999, 'lng': 115.2437193}","JL. Raya Buahan, No. 88X, Majangan, Buahan Kaja, Kec. Payangan, Kabupaten Gianyar, Bali 80572, Indonesia","Payangan, Gianyar"
https://www.booking.com/hotel/id/sundi-hill-cottage.html?sid=b9709cd8ce176378f5bf317f22dd8ee4&aid=2230186&ucfs=1&arphpl=1&dest_id=835&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=773&sr_order=popularity&srpvid=f0c23a7c639c0165&srepoch=1685175669&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl,Sundi Hill Cottage,Nusa Penida,"Located in Nusa Penida, a 12-minute walk from Gamat Bay Beach, Sundi Hill Cottage has accommodations with an outdoor swimming pool, free private parking, a garden and a terrace.",Expensive,8.2,Good,254,"{'lat': -8.6968683, 'lng': 115.4775153}","8F3H+724, Unnamed Road, Sakti, Kec. Nusa Penida, Kabupaten Klungkung, Bali 80771, Indonesia","Nusa Penida, Klungkung"
https://www.booking.com/hotel/id/bali-masari-villas.html?sid=b9709cd8ce176378f5bf317f22dd8ee4&aid=2230186&ucfs=1&arphpl=1&dest_id=835&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=774&sr_order=popularity&srpvid=f0c23a7c639c0165&srepoch=1685175669&map_fdco=1&from=searchresults#hotelTmpl,Bali Masari Villas & Spa,Sukawati,"Overlooking the Petanu River valley, Bali Masari Villas offers spacious villas with private grounds and pools. A variety of spa treatments are available, as are horseback riding and other activities.",Expensive,8.2,Good,400,"{'lat': -8.5977978, 'lng': 115.2961881}","Jalan Bali Masari, Banjar Gelumpang, Sukawati 80582, Sukawati, Kec. Sukawati, Kabupaten Gianyar, Bali 80582, Indonesia","Sukawati, Gianyar"
https://www.booking.com/hotel/id/double-g-guest-house.html?sid=b9709cd8ce176378f5bf317f22dd8ee4&aid=2230186&ucfs=1&arphpl=1&dest_id=835&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=775&sr_order=popularity&srpvid=f0c23a7c639c0165&srepoch=1685175669&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl,Double-G Guest House,Nusa Penida,"Located in Nusa Penida, a 7-minute walk from Toyapakeh Beach, Double-G Guest House provides accommodations with a garden, free private parking, a shared lounge and a terrace.",Cheap,8.3,Good,241,"{'lat': (None) , 'lng': (None)}","Kp. Toyapakeh, Kec. Nusa Penida, Kabupaten Klungkung, Bali 80771","Nusa Penida, Klungkung"
https://www.booking.com/hotel/id/juli-house.html?sid=b9709cd8ce176378f5bf317f22dd8ee4&aid=2230186&ucfs=1&arphpl=1&dest_id=835&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=777&sr_order=popularity&srpvid=f0c23a7c639c0165&srepoch=1685175671&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl,Juli House by Mahaputra,"Downtown Ubud, Ubud","Located in Ubud, a 6-minute walk from Saraswati Temple, Juli House by Mahaputra has accommodations with free bikes, free private parking, an outdoor swimming pool and a garden.",Expensive,8,Good,219,"{'lat': -8.5082263, 'lng': 115.2589436}","27 Jalan Bisma, Downtown, Ubud, 80582, Indonesia","Ubud, Gianyar"
https://www.booking.com/hotel/id/uluwatu-breeze-village.html?sid=b9709cd8ce176378f5bf317f22dd8ee4&aid=2230186&ucfs=1&arphpl=1&dest_id=835&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=778&sr_order=popularity&srpvid=f0c23a7c639c0165&srepoch=1685175671&map_fdco=1&from=searchresults#hotelTmpl,Uluwatu Breeze Village,"Pecatu, Uluwatu","Located in Uluwatu, 1.1 mi from the iconic Uluwatu Temple, Uluwatu Breeze Village offers accommodations with air conditioning and an outdoor pool.",Moderate,7.9,Good,427,"{'lat': -8.818216300000001, 'lng': 115.0995049}","Jl. Labuansait No.10, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia","Kuta Selatan, Badung"
